First Letter	Second Letter	% probability Second Letter follows First Letter
t	p	0.014858095
s	p	2.187014416
r	p	0.473480437
q	p	0.004339039
p	p	5.694721006
o	p	1.960694828
n	p	0.048130002
m	p	5.537651461
l	p	0.407591971
k	p	0.064657407
j	p	0.019116398
i	p	0.829470039
h	p	0.005757236
g	p	0.010032086
f	p	0.003335314
e	p	1.010722668
d	p	0.019903049
c	p	0.007907923
b	p	0.008651721
a	p	1.738771062
_	p	3.366188256
z	o	4.827820716
y	o	12.608718845
x	o	1.127639731
w	o	10.107547194
v	o	5.132962017
u	o	0.229704573
t	o	9.922352723
s	o	4.974837206
r	o	8.894406439
q	o	0.009533663
p	o	12.881489171
o	o	3.358158649
n	o	6.054792742
m	o	11.150455325
l	o	7.865621010
k	o	0.779097616
j	o	27.838973809
i	o	5.672912614
h	o	7.478549588
g	o	7.522474199
f	o	16.125585287
e	o	0.373730621
d	o	6.050902100
c	o	18.869351564
b	o	11.488558927
a	o	0.031847879
_	o	6.623767553
z	n	0.118186569
y	n	0.379040137
x	n	0.015829648
w	n	4.005488226
v	n	0.015024294
u	n	11.729664295
t	n	0.097750853
s	n	0.188981920
r	n	2.245595955
q	n	0.008800305
p	n	0.030892396
o	n	14.842732985
n	n	0.936488548
m	n	0.336502534
l	n	0.101089514
k	n	8.743783456
j	n	0.021847312
i	n	26.104937854
h	n	0.231108576
g	n	1.859561590
f	n	0.008768120
e	n	8.446121915
d	n	0.168474602
c	n	0.024088751
b	n	0.041829676
a	n	19.977811897
_	n	2.291781026
z	m	0.170666007
y	m	0.649725236
x	m	0.054375870
w	m	0.035728932
v	m	0.001660737
u	m	2.931258987
t	m	0.175665709
s	m	0.777009907
r	m	1.727315777
q	m	0.002750095
p	m	0.253257710
o	m	5.605341660
n	m	0.231767027
m	m	2.464177641
l	m	0.540661621
k	m	0.159790327
j	m	0.005318096
i	m	3.790532786
h	m	0.140297843
g	m	0.212663661
f	m	0.014387481
e	m	2.058324145
d	m	0.351518936
c	m	0.013584008
b	m	0.128521781
a	m	2.754944389
_	m	3.989545087
z	l	2.493204632
y	l	0.496839821
x	l	0.186221079
w	l	0.671799854
v	l	0.028847840
u	l	10.238443747
t	l	1.177466352
s	l	0.902766084
r	l	1.282822954
q	l	0.003300114
p	l	9.622010495
o	l	3.291132555
n	l	0.831056988
m	l	0.162603909
l	l	13.095745767
k	l	1.802192454
j	l	0.014876295
i	l	5.166604053
h	l	0.154935325
g	l	2.816246875
f	l	2.513530963
e	l	3.389410645
d	l	0.853919563
c	l	3.802033008
b	l	11.352992971
a	l	8.257176723
_	l	2.585465265
z	k	0.132348829
y	k	0.022086874
x	k	0.008291721
w	k	0.078858743
v	k	0.003363291
u	k	0.111299005
t	k	0.004670455
s	k	0.689077052
r	k	1.212427356
q	k	0.001344491
p	k	0.041037938
o	k	1.141879577
n	k	0.947997645
m	k	0.003094538
l	k	0.709027302
k	k	0.047915558
j	k	0.006180490
i	k	0.792776572
h	k	0.004890752
g	k	0.004833330
f	k	0.004999189
e	k	0.166228228
d	k	0.017417754
c	k	5.397396741
b	k	0.002749945
a	k	1.352238382
_	k	0.594179348
z	j	0.008195419
y	j	0.001668302
x	j	0.000890846
w	j	0.000667204
v	j	0.002049039
u	j	0.007723538
t	j	0.001046697
s	j	0.001966704
r	j	0.008520380
q	j	0.000366679
p	j	0.001673234
o	j	0.035241110
n	j	0.107130762
m	j	0.000950914
l	j	0.001027559
k	j	0.010406092
j	j	0.015882421
i	j	0.007946201
h	j	0.000521629
g	j	0.000947824
f	j	0.001018493
e	j	0.027259748
d	j	0.057472106
c	j	0.000446787
b	j	0.765757314
a	j	0.081953216
_	j	0.551143464
z	i	12.023254861
y	i	1.562718880
x	i	11.160792908
w	i	16.167470460
v	i	16.913472312
u	i	2.655980796
t	i	7.765069484
s	i	5.582876242
r	i	8.408562531
q	i	0.182728547
p	i	5.530865815
o	i	0.995849493
n	i	3.274106040
m	i	9.580413188
l	i	11.989000676
k	i	13.255845460
j	i	2.701664528
i	i	0.088337269
h	i	12.816390888
g	i	5.438529622
f	i	8.379055035
e	i	1.111812623
d	i	7.466592157
c	i	5.719815567
b	i	4.762521236
a	i	4.013833503
_	i	6.908207735
z	h	0.435866892
y	h	0.056713217
x	h	1.934540635
w	h	17.834112341
v	h	0.007485265
u	h	0.050703385
t	h	32.155715757
s	h	5.615315475
r	h	0.228160047
q	h	0.002138963
p	h	2.683233723
o	h	0.293438578
n	h	0.116223767
m	h	0.014286954
l	h	0.027031738
k	h	0.262670252
j	h	0.010959589
i	h	0.012589884
h	h	0.011925012
g	h	12.327851877
f	h	0.007270632
e	h	0.167810961
d	h	0.060641478
c	h	15.978055408
b	h	0.025069524
a	h	0.188354101
_	h	6.350447030
z	g	0.217394274
y	g	0.056196406
x	g	0.007435138
w	g	0.005321558
v	g	0.003100441
u	g	4.844880493
t	g	0.014091350
s	g	0.042091643
r	g	1.099674815
q	g	0.000183340
p	g	0.013198570
o	g	0.581566196
n	g	11.996973452
m	g	0.008265276
l	g	0.097485282
k	g	0.116494747
j	g	0.004491635
i	g	3.004316544
h	g	0.002320282
g	g	1.233329901
f	g	0.014790845
e	g	0.602777926
d	g	0.584791886
c	g	0.021718471
b	g	0.005503611
a	g	1.887219404
_	g	1.928962041
z	f	0.011286674
y	f	0.054833355
